Episode,Reward,Steps,Game Status
0,0.75,6,1
1,0.75,6,1
2,0.75,6,1
3,0.75,6,1
4,0.75,6,1
5,0.75,6,1
6,0.75,6,1
7,0.75,6,1
8,0.75,6,1
9,0.75,6,1
10,0.75,6,1
11,0.75,6,1
12,0.75,6,1
13,0.75,6,1
14,0.75,6,1
15,0.75,6,1
16,0.75,6,1
17,0.75,6,1
18,0.75,6,1
19,0.75,6,1
20,0.75,6,1
21,0.75,6,1
22,0.75,6,1
23,0.34999999999999987,8,1
24,0.75,6,1
25,0.75,6,1
26,0.75,6,1
27,0.75,6,1
28,0.75,6,1
29,0.75,6,1
30,0.34999999999999987,8,1
31,0.75,6,1
32,0.75,6,1
33,0.75,6,1
34,0.75,6,1
35,0.75,6,1
36,0.75,6,1
37,0.75,6,1
38,0.75,6,1
39,0.75,6,1
40,0.75,6,1
41,0.75,6,1
42,0.75,6,1
43,0.75,6,1
44,0.75,6,1
45,0.75,6,1
46,0.75,6,1
47,0.75,6,1
48,0.75,6,1
49,0.75,6,1
50,0.75,6,1
51,0.75,6,1
52,0.75,6,1
53,0.75,6,1
54,0.75,6,1
55,0.75,6,1
56,0.75,6,1
57,0.34999999999999987,8,1
58,0.75,6,1
59,0.75,6,1
60,0.75,6,1
61,0.75,6,1
62,0.75,6,1
63,0.75,6,1
64,0.75,6,1
65,0.75,6,1
66,0.75,6,1
67,0.75,6,1
68,0.75,6,1
69,0.75,6,1
70,0.75,6,1
71,0.75,6,1
72,0.75,6,1
73,0.75,6,1
74,0.75,6,1
75,0.75,6,1
76,0.75,6,1
77,0.75,6,1
78,0.75,6,1
79,0.34999999999999987,8,1
80,0.75,6,1
81,0.75,6,1
82,0.75,6,1
83,0.75,6,1
84,0.75,6,1
85,0.75,6,1
86,0.75,6,1
87,0.75,6,1
88,0.75,6,1
89,0.75,6,1
90,0.75,6,1
91,0.75,6,1
92,0.75,6,1
93,0.75,6,1
94,0.75,6,1
95,0.75,6,1
96,0.75,6,1
97,0.75,6,1
98,0.75,6,1
99,0.75,6,1
